filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
blues.00000.au,0.34995052218437195,0.13019199669361115,1784.4165456667672,2002.6571062203575,3806.4186497738488,0.08306639113293343,-113.619384765625,121.55301666259766,-19.15105628967285,42.345767974853516,-6.3711676597595215,18.613033294677734,-13.692060470581055,15.339378356933594,-12.28361701965332,10.973775863647461,-8.322409629821777,8.806787490844727,-3.665802001953125,5.745938777923584,-5.1617112159729,0.7502977848052979,-1.688357949256897,-0.40932855010032654,-2.2988688945770264,1.2199469804763794,blues
blues.00001.au,0.3409450948238373,0.09589168429374695,1529.8713139905358,2038.6121426557386,3548.9868730952494,0.056044256724071206,-207.58151245117188,123.99714660644531,8.939114570617676,35.870758056640625,2.9199702739715576,21.518787384033203,-8.55536937713623,23.355937957763672,-10.10103702545166,11.906444549560547,-5.558122634887695,5.375942230224609,-2.23783278465271,4.217125415802002,-6.01104736328125,0.9326680302619934,-0.7170279026031494,0.2923332452774048,-0.28571686148643494,0.5321442484855652,blues
blues.00002.au,0.36356186866760254,0.17549368739128113,1552.6377862410238,1747.3820283592033,3041.0899442784926,0.07630074799245357,-90.7763442993164,140.4486083984375,-29.10055923461914,31.687339782714844,-13.975971221923828,25.741682052612305,-13.644712448120117,11.623111724853516,-11.775919914245605,9.70046615600586,-13.115348815917969,5.785763263702393,-8.89973258972168,-1.0870236158370972,-9.216773986816406,2.453648328781128,-7.721793174743652,-1.8164973258972168,-3.434353828430176,-2.231391191482544,blues
blues.00003.au,0.4048483371734619,0.1411392092704773,1070.1100590065275,1596.24420438572,2185.0617872303114,0.03330894446594427,-199.46200561523438,150.0947265625,5.649167060852051,26.87014389038086,1.755440592765808,14.2368803024292,-4.8288726806640625,9.29784870147705,-0.7531418800354004,8.147393226623535,-3.1952357292175293,6.085353851318359,-2.4761884212493896,-1.0762245655059814,-2.876056432723999,0.7769087553024292,-3.3200554847717285,0.6372628211975098,-0.6175069212913513,-3.40693998336792,blues
blues.00004.au,0.3085981607437134,0.09154040366411209,1835.5070085087575,1748.3674768917706,3581.003346162684,0.1015001421004257,-160.29185485839844,126.19576263427734,-35.60249710083008,22.151168823242188,-32.487640380859375,10.862022399902344,-23.357162475585938,0.500523030757904,-11.804770469665527,1.2038774490356445,-13.085074424743652,-2.8098487854003906,-6.9356207847595215,-7.559293746948242,-9.172151565551758,-4.510408401489258,-5.453736305236816,-0.9244678616523743,-4.40807580947876,-11.70183277130127,blues
blues.00005.au,0.30241402983665466,0.10343772172927856,1831.9900686058324,1729.4562590216863,3480.8539517523704,0.09403986975135449,-177.88876342773438,118.18952941894531,-17.55072784423828,30.753101348876953,-21.732107162475586,11.898545265197754,-20.732280731201172,3.176168918609619,-8.57577133178711,-0.9401844143867493,-11.773798942565918,-2.4260759353637695,-9.342486381530762,-9.947081565856934,-3.9053468704223633,-5.568541049957275,-1.839969277381897,-2.784175157546997,-3.046112298965454,-8.115227699279785,blues
blues.00006.au,0.29140564799308777,0.14168789982795715,1459.0353759867005,1388.7255154666868,2795.67476160386,0.07302790308146284,-190.17501831054688,130.29241943359375,-36.348472595214844,33.029090881347656,11.085680961608887,-0.5963724851608276,-20.882356643676758,0.27711597084999084,-6.500870704650879,-5.515623092651367,-7.8452887535095215,-3.123599052429199,-6.5957159996032715,-9.947577476501465,-6.540925025939941,-10.071379661560059,-10.912118911743164,-6.970003128051758,-3.448512315750122,-6.498457908630371,blues
blues.00007.au,0.30731454491615295,0.13174523413181305,1451.8494581954853,1577.5518581340941,2955.7654602239745,0.06143500266060371,-179.42007446289062,136.4420928955078,-26.644338607788086,39.979591369628906,5.30181360244751,10.921236991882324,-20.555347442626953,8.507476806640625,-11.35435962677002,-3.4690983295440674,-8.414113998413086,-6.956976890563965,-3.5483484268188477,-8.05168342590332,-8.960484504699707,-8.421076774597168,-10.558598518371582,-10.790191650390625,-4.700794696807861,-8.638815879821777,blues
blues.00008.au,0.40899816155433655,0.1423606276512146,1719.273937358532,2031.6873439517926,3781.5188003398316,0.06402757957623839,-121.38711547851562,122.5053939819336,-14.739394187927246,46.135292053222656,-8.160384178161621,20.170509338378906,-19.169321060180664,23.050188064575195,-11.825939178466797,21.173410415649414,-6.720290660858154,7.005018711090088,-12.739911079406738,5.064208984375,-5.1730756759643555,-1.4469950199127197,-7.036928653717041,2.6948745250701904,3.409332275390625,-2.699190855026245,blues
blues.00009.au,0.2740142345428467,0.08132097870111465,1817.5295466580833,1973.6903092643117,3944.584480970637,0.0792153184258901,-213.20452880859375,115.154541015625,-11.720502853393555,39.032554626464844,-20.357818603515625,13.089925765991211,-9.180815696716309,9.023638725280762,-14.101022720336914,4.283337116241455,-6.044195652008057,3.786367893218994,0.22368738055229187,-5.114480972290039,-0.41453689336776733,-1.1848984956741333,-1.9183391332626343,-2.2957963943481445,2.8912301063537598,-4.234532833099365,blues
blues.00010.au,0.30396512150764465,0.14286480844020844,1410.675357005059,1512.9717892551323,2767.5082652561437,0.06298072271671827,-173.7158660888672,137.14024353027344,-23.76764678955078,26.99173927307129,-16.68766212463379,4.21437406539917,-12.58261775970459,5.854559421539307,-2.8846726417541504,-1.1866810321807861,-1.9771538972854614,1.8001548051834106,-3.004411220550537,-1.8699357509613037,-0.7962682247161865,-3.0132641792297363,-0.43592554330825806,-2.001810073852539,-0.7466386556625366,-5.001237869262695,blues
blues.00011.au,0.36580705642700195,0.06568456441164017,1353.329119184995,1757.3310045214203,2882.31590436339,0.04395891785990712,-287.9235534667969,123.97103881835938,5.456122398376465,33.68454360961914,1.0892009735107422,14.704721450805664,-4.898605823516846,8.653276443481445,0.782797634601593,6.566735744476318,-4.879439830780029,-3.1806588172912598,-5.557003498077393,-6.78662109375,-2.644232988357544,-2.982431411743164,-3.381138324737549,-1.861497402191162,1.8359204530715942,-4.896511554718018,blues
blues.00012.au,0.2693325877189636,0.1190238893032074,1361.100405948709,1567.600771502297,2739.791766187355,0.06912392064144737,-207.208740234375,132.79708862304688,-15.460705757141113,60.9948616027832,0.7102410793304443,12.461278915405273,1.160927653312683,-1.5278946161270142,-17.90181541442871,8.369234085083008,-2.4538187980651855,-0.5966887474060059,0.36881640553474426,2.6052277088165283,-5.193015098571777,-9.530149459838867,-9.23740005493164,-2.8406755924224854,-1.4114445447921753,-5.931028366088867,blues
blues.00013.au,0.26472631096839905,0.1131889671087265,1324.3317543042795,1827.3844642954127,2710.3669441152283,0.051417300575657895,-209.78219604492188,124.4659194946289,10.285804748535156,47.030174255371094,6.482385635375977,15.417020797729492,-2.010077953338623,6.7357869148254395,-21.548620223999023,10.728497505187988,-5.5324320793151855,-2.202038049697876,-3.051727056503296,8.644020080566406,-0.31084561347961426,-0.6361448764801025,-2.9359378814697266,-1.7065969705581665,-1.7654228210449219,-7.7559638023376465,blues
blues.00014.au,0.32904085516929626,0.06693624705076218,1172.2763006898927,1705.858376666551,2345.777482071159,0.045045834945820436,-305.6985778808594,113.04164123535156,12.114900588989258,45.03944396972656,17.739238739013672,14.594630241394043,4.15712833404541,0.24009813368320465,-7.013088226318359,13.649843215942383,8.923057556152344,1.3016897439956665,5.9521284103393555,8.542282104492188,1.1171257495880127,0.5882188081741333,0.06007744371891022,-3.7065188884735107,-1.0018839836120605,-1.804413914680481,blues
blues.00015.au,0.2703465521335602,0.08063894510269165,1420.41147890575,1730.9171014728959,2930.240614569224,0.0637176797116873,-238.5330352783203,120.08828735351562,-4.224555492401123,42.31004333496094,5.916329860687256,13.91418170928955,5.357577323913574,1.903709053993225,-16.929880142211914,12.339309692382812,3.94096040725708,-1.3906769752502441,0.014792120084166527,3.580495834350586,-4.504993438720703,-5.5419511795043945,-6.883077621459961,-4.826390266418457,1.7385828495025635,-1.884016752243042,blues
blues.00016.au,0.30829644203186035,0.08141902089118958,1455.0424717869325,1825.9090253512054,3009.9651324859715,0.061350725014512386,-233.79489135742188,120.66705322265625,-3.1675610542297363,39.539268493652344,3.8588552474975586,18.839672088623047,-3.6889171600341797,4.431844711303711,-14.975374221801758,17.571033477783203,1.8447446823120117,2.538606643676758,-1.2386857271194458,8.439363479614258,-0.20983858406543732,-3.906785249710083,-4.478641033172607,-0.012232198379933834,1.2932649850845337,-2.0874292850494385,blues
blues.00017.au,0.30223947763442993,0.09325911104679108,1088.7781164059863,1410.8359525955855,2134.7537581027477,0.04832397083010836,-245.7541046142578,140.48092651367188,-2.7714390754699707,60.42012023925781,18.925399780273438,9.837099075317383,3.5665769577026367,0.5361875295639038,-16.367359161376953,6.629854679107666,7.269148826599121,-4.015730857849121,1.6074535846710205,5.898682117462158,-3.0176076889038086,-4.774899482727051,-3.0270702838897705,-1.9985328912734985,-0.05875895172357559,-3.9718897342681885,blues
